cve_id,cwe_id,source_file,raw_func,function_name,opt_level,vuln_bin_path,patch_bin_path
CVE-2018-20761,CWE-119,ac-0.5.2-426-gc5ad4e4+dfsg5/applications/mp4box/fileimport.c,cat_multiple_files,cat_multiple_files,opt0,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/vulnerable/opt0/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/patch/opt0/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4
CVE-2018-20761,CWE-119,ac-0.5.2-426-gc5ad4e4+dfsg5/applications/mp4box/fileimport.c,cat_multiple_files,cat_multiple_files,opt0,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/vulnerable/opt0/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4.5.0,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/patch/opt0/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4.5.0
CVE-2018-20761,CWE-119,ac-0.5.2-426-gc5ad4e4+dfsg5/applications/mp4box/fileimport.c,cat_multiple_files,cat_multiple_files,opt1,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/vulnerable/opt1/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/patch/opt1/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4
CVE-2018-20761,CWE-119,ac-0.5.2-426-gc5ad4e4+dfsg5/applications/mp4box/fileimport.c,cat_multiple_files,cat_multiple_files,opt1,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/vulnerable/opt1/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4.5.0,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/patch/opt1/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4.5.0
CVE-2018-20761,CWE-119,ac-0.5.2-426-gc5ad4e4+dfsg5/applications/mp4box/fileimport.c,cat_multiple_files,cat_multiple_files,opt2,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/vulnerable/opt2/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/patch/opt2/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4
CVE-2018-20761,CWE-119,ac-0.5.2-426-gc5ad4e4+dfsg5/applications/mp4box/fileimport.c,cat_multiple_files,cat_multiple_files,opt2,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/vulnerable/opt2/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4.5.0,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/patch/opt2/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4.5.0
CVE-2018-20761,CWE-119,ac-0.5.2-426-gc5ad4e4+dfsg5/applications/mp4box/fileimport.c,cat_multiple_files,cat_multiple_files,opt3,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/vulnerable/opt3/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/patch/opt3/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4
CVE-2018-20761,CWE-119,ac-0.5.2-426-gc5ad4e4+dfsg5/applications/mp4box/fileimport.c,cat_multiple_files,cat_multiple_files,opt3,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/vulnerable/opt3/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4.5.0,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/patch/opt3/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4.5.0
CVE-2018-20761,CWE-119,ac-0.5.2-426-gc5ad4e4+dfsg5/applications/mp4client/main.c,main,main,opt0,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/vulnerable/opt0/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/patch/opt0/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4
CVE-2018-20761,CWE-119,ac-0.5.2-426-gc5ad4e4+dfsg5/applications/mp4client/main.c,main,main,opt0,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/vulnerable/opt0/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4.5.0,D:/BinPool_dataset/binpool_dataset/CVE-2018-20761/patch/opt0/debfiles/output_directory/bins/libgpac4_0.5.2-426-gc5ad4e4+dfsg5-4.1_amd64/usr/lib/x86_64-linux-gnu/libgpac.so.4.5.0
